Date,Positivity
8/17/2020,0.26%
8/18/2020,0.32%
8/19/2020,0.46%
8/20/2020,0.48%
8/21/2020,0.50%
8/22/2020,1.29%
8/23/2020,1.18%
8/24/2020,0.45%
8/25/2020,0.56%
8/26/2020,0.79%
8/27/2020,0.40%
8/28/2020,0.43%
8/29/2020,1.73%
8/30/2020,2.86%
8/31/2020,1.34%
9/1/2020,1.39%
9/2/2020,1.69%
9/3/2020,0.59%
9/4/2020,0.73%
9/5/2020,1.42%
9/6/2020,1.24%
9/7/2020,1.10%
9/8/2020,0.70%
9/9/2020,0.39%
9/10/2020,0.51%
9/11/2020,0.31%
9/12/2020,0.25%
9/13/2020,0.37%
9/14/2020,0.39%
9/15/2020,0.40%
9/16/2020,0.24%
9/17/2020,0.23%
9/18/2020,0.26%
9/19/2020,0.31%
9/20/2020,0.25%
9/21/2020,0.40%
9/22/2020,0.56%
9/23/2020,0.30%
9/24/2020,0.30%
9/25/2020,0.37%
9/26/2020,0.44%
9/27/2020,0.64%
9/28/2020,0.34%
9/29/2020,0.34%
9/30/2020,0.31%
10/1/2020,0.36%
10/2/2020,0.17%
10/3/2020,0.23%
10/4/2020,0.16%
10/5/2020,0.43%
10/6/2020,0.24%
10/7/2020,0.21%
10/8/2020,0.18%
10/9/2020,0.10%
10/10/2020,0.31%
10/11/2020,0.18%
10/12/2020,0.24%
10/13/2020,0.14%
10/14/2020,0.12%
10/15/2020,0.12%
10/16/2020,0.09%
10/17/2020,0.05%
10/18/2020,0.14%
10/19/2020,0.17%
10/20/2020,0.18%
10/21/2020,0.21%
10/22/2020,0.27%
10/23/2020,0.24%
10/24/2020,0.39%
10/25/2020,0.47%
10/26/2020,0.67%
10/27/2020,0.35%
10/28/2020,0.35%
10/29/2020,0.30%
10/30/2020,0.36%
10/31/2020,0.26%
11/1/2020,0.35%
11/2/2020,0.69%
11/3/2020,0.67%
11/4/2020,0.69%
