Name,shortName,Notes,paramType,formatString,compareG,compareL,diffFormat,diffTransform,textAdd,textBefore
R0 Reproduction Number,infectionRate,Infections the first case can be expected to generate (see Dictionary),basic,%0.1f,higher,lower,%0.2f,,,R0 = 
External Infections per Day,exogeneousShockSize,Size of external infection events,basic,%0.1f,larger,smaller,%0.1f,,external infection event size,
Starting Asymptomatic Cases,startingAsymptomatics,,basic,%0.0f,more,fewer,%0.0f,,students starting sick,
Superspreader Event Date,ssEventDate,Day on which a superspreader event occurs (if any),basic,%0.0f,earlier,later,%0.0f,,superspreader event,
Superspreader Event Size,ssEventSize,Size of superspreader event(if any),basic,%0.0f,more,fewer,%0.0f,,students infected by a superspreader,
Test Sensitivity (%),testPCRSpecificity,Chance of detecting Covid if there is Covid,test,%0.1f%%,higher,lower,%0.1f%%,,PCR test sensitivity,
Test Specificity (%),testPCRSensitivity,Chance of detecting no Covid if there is no Covid,test,%0.1f%%,higher,lower,%0.1f%%,,PCR test specificity,
Testing Cadence,testingTime,Interval between tests,test,%0.0f,more,fewer,%0.0f,,day(s) between tests,
Cost Per Test ($),testPCRCost,,test,%0.0f$,more,less,%0.0f$,,in PCR test cost,
Confirmatory Test Cost ($),testConfCost,Currently assuming 100% sens/spec,test,%0.0f$,more,less,%0.0f$,,in confirmatory test cost,
False Positive Release Time,falsePositiveReturnTime,Days for False Positive to be released,test,%0.0f,more,fewer,%0.0f,,day(s) to screen out false positives,
Student Population,studentPopulation,,popsoc,%0.0f,more,fewer,%0.0f,,students,
Average Size of Shared Housing,podSize,Number of Students Living Together,popsoc,%0.0f,more,fewer,%0.0f,,,housing group size
Probability of Roommate Infection,intraPodInfectionProb,Chance one infected pod member infects another,popsoc,%0.1f%%,higher,lower,%0.1f%%,,intra-pod infection risk,
Frequency of Social Gatherings,partyRate,Days between parties,popsoc,%0.0f,more,fewer,%0.0f,,days between sanctioned parties,
Number of Students attending Social Gatherings,partySize,Size of parties,popsoc,%0.0f,more,fewer,%0.0f,,students at a party,
Number of Contacts at Social Gatherings,contactsPerParty,Contacts per student per party,popsoc,%0.1f,more,fewer,%0.1f,,contacts at the party,
Probability of Infection Given Contact,conditionalInfectionProb,,disease,%0.1f%%,higher,lower,%0.1f%%,,probability of infection conditional on contact,
Recovery Time (days),recoveryTime,Days to recover from illness,disease,%0.0f,more,fewer,%0.0f,,days to recover,
Incubation Time (days),incubationTime,Time between getting infected & being infectious,disease,%0.0f,more,fewer,%0.0f,,days to incubate,
Conditional Mortality,conditionalMortality,Chance of death if hospitalized (for student age group),disease,%0.2f%%,more,less,%0.2f%%,,dying if symptomatic,
Proportion Developing Symptoms,symptomDevelopmentProportion,Chance of symptoms developing if infected,disease,%0.1f%%,more,less,%0.1f%%,,developing symptoms,
Total Number of Days,nDays,,noshow,%0.0f,more,fewer,%0.0f,,,
Community Transmission Rate (Days),exogeneousShockRate,Days between external infection events,noshow,%0.0f,more,fewer,%0.0f,,days between external infection events,
Test-Isolation Delay (Hours),testingLag,Hours it takes to quarantine someone testing positive,noshow,%0.0f,more,fewer,%0.0f,,hours to isolation from a positive test,
Days before first round of isolations,firstTestDelay,,noshow,%0.0f,more,fewer,%0.0f,,day(s) before the first round of isolation,
Max Contacts Traced,maxContactsTraced,Number of Contacts Traceable in a day,contrace,%0.0f,more,fewer,%0.0f,,max contacts traced per day,
Contact Tracing Accuracy,contactTracingAccuracy,Proportion of contacts that are accurately reported,contrace,%0.0f%%,higher,lower,%0.0f%%,,proportion of CTs that are accurate,
Contact Tracing Window,contactTracingWindow,How many days to contact trace,contrace,%0.0f,more,fewer,%0.0f,,days to look back for CT,
Contact Tracing Delay,contactTracingDelay,How many days to get CT results,contrace,%0.0f,more,fewer,%0.0f,,days to get CT results,
Contact Tracing Response Rate,contactTracingResponseRate,What % of people respond to CT,contrace,%0.0f%%,higher,lower,%0.0f%%,,students responding to CT,
ctDoubleCountAdjustment,ctDoubleCountAdjustment,,noshow,%0.0f%%,higher,lower,%0.0f%%,,,
Quarantine Time,ctQuarTime,Time spent in quarantine if contact traced,contrace,%0.0f,more,fewer,%0.0f,,days spent in quarantine if contact traced,
Contact Tracing (1 if True),runContactTracing,Is contact tracing being conducted?,pol,%0.0f,,no, ,,contact tracing conducted,
Serology Test (1 if true),runSerologyTest,Has the Serology Test been administered?,pol,%0.0f,,no, ,,serology tests administered,
Pooled Test (1 if true),pooledTests,Are PCR tests being conducted by pod?,pol,%0.0f,,no, ,,pooled tests administered,
Parties (1 if true),parties,Are students allowed to hold parties,pol,%0.0f,,no, ,,parties allowed,
Average non-pod contacts per student,avgNonPodContacts,,noshow,%0.2f,more,fewer,%0.2f,,student contacts,
