TestName,LongName,explanatoryText,RunTest,Visualize,runSerologyTest,pooledTests,runContactTracing,parties,nCycles,cyclesPerDay,testingLag,startingSusceptible,startingExposed,startingAsymptomatics,startingQuarantineSusc,startingQuarantineExp,startingQuarantineAsymp,startingFPs,startingTPs,startingImmuneFPs,startingSymptomatic,startingRecovered,startinghiddenRecovered,startingDeaths,startingTestingCost,infectionRate,conditionalInfectionProb,avgNonPodContacts,intraPodInfectionProb,incubationTime,recoveryTime,symptomDevelopmentProportion,conditionalMortality,exogeneousShockRate,exogeneousShockSize,ssEventDate,ssEventSize,partyRate,partySize,contactsPerParty,testPCRSensitivity,testPCRSpecificity,testSerSensitivity,testSerSpecificity,testPCRCost,testSerCost,testConfCost,falsePositiveReturnTime,testingTime,firstTestDelay,podSize,maxContactsTraced,contactTracingAccuracy,contactTracingWindow,contactTracingDelay,contactTracingResponseRate,ctDoubleCountAdjustment,ctQuarTime
1000_2.5_2,1000_2.5_2, ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,997,0,3,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.1,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,2,2,1,10,0,0,0,0.5,0.8,4
3400_2.5_2,3400_2.5_2, ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,3389.8,0,10.2,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.34,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,2,2,5,10,0,0,0,0.5,0.8,4
6600_2.5_2,6600_2.5_2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,6580.2,0,19.8,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.66,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,2,2,10,10,0,0,0,0.5,0.8,4
1000_4.0_2,1000_4.0_2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,997,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.1,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,2,2,1,10,0,0,0,0.5,0.8,4
3400_4.0_2,3400_4.0_2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,3389.8,0,10.2,0,0,0,0,0,0,0,0,0,0,0,4,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.34,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,2,2,5,10,0,0,0,0.5,0.8,4
6600_4.0_2,6600_4.0_2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,6580.2,0,19.8,0,0,0,0,0,0,0,0,0,0,0,4,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.66,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,2,2,10,10,0,0,0,0.5,0.8,4
1000_2.5_5,1000_2.5_5,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,997,0,3,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.1,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,5,2,1,10,0,0,0,0.5,0.8,4
3400_2.5_5,3400_2.5_5,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,3389.8,0,10.2,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.34,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,5,2,5,10,0,0,0,0.5,0.8,4
6600_2.5_5,6600_2.5_5,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,6580.2,0,19.8,0,0,0,0,0,0,0,0,0,0,0,2.5,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.66,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,5,2,10,10,0,0,0,0.5,0.8,4
1000_4.0_5,1000_4.0_5,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,240,3,0.333333333,997,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0.026,9.811617,0.15,3,14,0.3,0.0005,1,0.1,25,0,0,0,0,0.8,0.9,0.7,1,25,5,50,1,5,2,1,10,0,0,0,0.5,0.8,4
