TestName,scenario1,scenario2,diffName,explanatoryText,generateDiff,stitch,stitchFileName
1000_2.5_2_SS,1000_2.5_2_SS,,1000_2.5_2_SS, ,FALSE,FALSE,NonexistentFile
3400_2.5_2_SS,3400_2.5_2_SS,,3400_2.5_2_SS,,FALSE,FALSE,NonexistentFile
6600_2.5_2_SS,6600_2.5_2_SS,,6600_2.5_2_SS,,FALSE,FALSE,NonexistentFile
1000_4.0_2_SS,1000_4.0_2_SS,,1000_4.0_2_SS,,FALSE,FALSE,NonexistentFile
3400_4.0_2_SS,3400_4.0_2_SS,,3400_4.0_2_SS,,FALSE,FALSE,NonexistentFile
6600_4.0_2_SS,6600_4.0_2_SS,,6600_4.0_2_SS,,FALSE,FALSE,NonexistentFile
1000_2.5_5_SS,1000_2.5_5_SS,,1000_2.5_5_SS,,FALSE,FALSE,NonexistentFile
3400_2.5_5_SS,3400_2.5_5_SS,,3400_2.5_5_SS,,FALSE,FALSE,NonexistentFile
6600_2.5_5_SS,6600_2.5_5_SS,,6600_2.5_5_SS,,FALSE,FALSE,NonexistentFile
1000_4.0_5_SS,1000_4.0_5_SS,,1000_4.0_5_SS,,FALSE,FALSE,NonexistentFile
3400_4.0_5_SS,3400_4.0_5_SS,,3400_4.0_5_SS,,FALSE,FALSE,NonexistentFile
6600_4.0_5_SS,6600_4.0_5_SS,,6600_4.0_5_SS,,FALSE,FALSE,NonexistentFile
